"Purchase the ""cut tape"" option from DigiKey for all items.",,,,,,,,,,,
,Item,MFR,MFR P/N,Vendor,Vendor P/N,Quantity,Price,Total Price ,Product link ,,Haul Total
,ChipQuik Solder Paste,Chip Quik Inc.,SMD291AX10,DigiKey,SMD291AX10-ND,1,$20.95,$20.95,https://www.digikey.com/en/products/detail/chip-quik-inc/SMD291AX10/2057271,,
,Tactile push button Switch - option 1: 3.8mm,E-Switch,TL3305AF260QG,,EG5353CT-ND,2,$0.21,$0.42,https://www.digikey.com/en/products/detail/e-switch/TL3305AF260QG/5816184,,
,Tactile push button Switch - option 2: 8.5mm,E-Switch,TL3301PF160QG,,EG4562CT-ND,2,$0.43,$0.86,https://www.digikey.com/en/products/detail/e-switch/TL3301PF160QG/1756542,,
,Tactile push button Switch - option 3: 9.5mm,E-Switch,TL3301BF160QGTUBE,,141-TL3301BF160QGTUBE-ND,2,$0.43,$0.86,https://www.digikey.com/en/products/detail/e-switch/TL3301BF160QGTUBE/1805543,,
,Tactile push button Switch - option 4: 13.0mm,E-Switch,TL3301DF160QG,,EG5463CT-ND,2,$0.46,$0.92,https://www.digikey.com/en/products/detail/e-switch/TL3301DF160QG/1805555,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
