"Purchase the ""cut tape"" option from DigiKey for all items.",,,,,,,,,,,
,Item,MFR,MFR P/N,Vendor,Vendor P/N,Quantity,Price,Total Price ,Product link ,,Haul Total
,Connector Option 2 - Male Receptacle,TE Connectivity,1761681-3,DigiKey,1761681-3-ND,2,$1.65,$3.30,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1761681-3/2055463,,
,Backup Battery Supervisor IC ,Analog Devices,MAX6326UR26+T,DigiKey,MAX6326UR26+TCT-ND,1,$4.82,$4.82,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX6326UR26-T/1495696,,
,Battery Monitor IC Adapter Board (SOT-23-3),SparkFun Electronics,BOB-00717,DigiKey,1568-1098-ND,1,$1.05,$1.05,https://www.digikey.com/en/products/detail/sparkfun-electronics/BOB-00717/5318740,,
,Battery Charger IC,Analog Devices,LTC4075EDD#PBF,DigiKey,LTC4075EDD#PBF-ND,2,$6.61,$13.22,https://www.digikey.com/en/products/detail/analog-devices-inc/LTC4075EDD-PBF/951407,,
,Battery Charger IC Adapter Board (DFN-10),Chip Quik Inc.,IPC0067,DigiKey,IPC0067-ND,1,$5.79,$5.79,https://www.digikey.com/en/products/detail/chip-quik-inc./IPC0067/5014734,,
,"909 ohm resistors, TH",Stackpole Electronics Inc,CF14JT910R,DigiKey,CF14JT910RCT-ND,10,$0.06,$0.56,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT910R/1741527,,
,"5.1k resistors, TH",Stackpole Electronics Inc,CF18JT5K10,DigiKey,CF18JT5K10CT-ND,10,$0.05,$0.45,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF18JT5K10/1741724,,
,"Male Header pin row, 0.1"" pitch, 36 pos 10 pk",Adafruit Inductries LLC,4149,DigiKey,1528-2921-ND,1,$4.95,$4.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4149/10123800,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
,,,,,,,,$0.00,,,
